Date;Heure;Min;Sec;stationCode;stationName;stationState;stationKioskState;stationNbEDock;stationNbBike;stationNbEBike;nbFreeDock;nbFreeEDock;stationNbBikeOverflow;stationNbEBikeOverflow;stationInsertedInDb;stationOperativeDate
8/05/19;17;13;31;9011;Conservatoire;OPEN;;19;10;;9;;;;19-05-8 17:13:31;;
8/05/19;17;13;31;3043;Place Rouget de L\'Isle;OPEN;;16;6;;10;;;;19-05-8 17:13:31;;
8/05/19;17;13;32;10114;Bel Air / Les Brosses;OPEN;;20;1;;19;;;;19-05-8 17:13:32;;
8/05/19;17;13;32;10038;Condorcet;OPEN;;12;3;;9;;;;19-05-8 17:13:32;;
8/05/19;17;13;32;4005;1 Place Bertone;OPEN;;12;0;;12;;;;19-05-8 17:13:32;;
8/05/19;17;13;33;7031;Jaurès / Gerland;OPEN;;20;19;;0;;;;19-05-8 17:13:33;;
8/05/19;17;13;33;3007;Place d\'Arsonval;OPEN;;32;6;;23;;;;19-05-8 17:13:33;;
8/05/19;17;13;33;6007;Masséna;OPEN;;20;1;;19;;;;19-05-8 17:13:33;;
8/05/19;17;13;34;9051;Andréi Sakharov;OPEN;;12;2;;10;;;;19-05-8 17:13:34;;
8/05/19;17;13;34;7049;Cité Scolaire Internationale;OPEN;;25;0;;25;;;;19-05-8 17:13:34;;
8/05/19;17;13;36;7022;Jaurès / Lagrange;OPEN;;30;20;;10;;;;19-05-8 17:13:36;;
8/05/19;17;13;36;3102;Dr Long / Aubépins;OPEN;;16;2;;14;;;;19-05-8 17:13:36;;
8/05/19;17;13;36;10088;4 août 1789 / Pressensé;OPEN;;19;0;;19;;;;19-05-8 17:13:36;;
8/05/19;17;13;36;7020;Parc de Gerland;OPEN;;26;6;;15;;;;19-05-8 17:13:37;;
8/05/19;17;13;37;7005;Debourg;OPEN;;20;20;;0;;;;19-05-8 17:13:37;;
8/05/19;17;13;37;10043;Salengro / Feyssine;OPEN;;20;10;;9;;;;19-05-8 17:13:37;;
8/05/19;17;13;37;5007;Place de Trion;OPEN;;16;0;;14;;;;19-05-8 17:13:37;;
8/05/19;17;13;38;3015;Servient / Garibaldi;OPEN;;17;9;;8;;;;19-05-8 17:13:38;;
8/05/19;17;13;38;7018;Lycée Louise Labé;OPEN;;20;17;;2;;;;19-05-8 17:13:38;;
8/05/19;17;13;38;2015;Place de la République;OPEN;;27;3;;24;;;;19-05-8 17:13:38;;
8/05/19;17;13;39;8052;Clinique Montplaisir;OPEN;;16;9;;6;;;;19-05-8 17:13:39;;
8/05/19;17;13;39;6011;Mairie du 6e;OPEN;;22;5;;10;;;;19-05-8 17:13:39;;
8/05/19;17;13;39;10072;Jacques Brel;CLOSED;;23;0;;0;;;;19-05-8 17:13:39;;
8/05/19;17;13;40;3094;Villette;OPEN;;38;17;;10;;;;19-05-8 17:13:40;;
8/05/19;17;13;40;5044;Champvert;OPEN;;20;1;;19;;;;19-05-8 17:13:40;;
8/05/19;17;13;40;10006;Charpennes;OPEN;;32;16;;16;;;;19-05-8 17:13:40;;
8/05/19;17;13;41;7045;Parc des Berges;OPEN;;25;19;;6;;;;19-05-8 17:13:41;;
8/05/19;17;13;41;3101;Patinoire Baraban;OPEN;;20;1;;18;;;;19-05-8 17:13:41;;
8/05/19;17;13;41;4021;Tabareau;OPEN;;10;0;;10;;;;19-05-8 17:13:41;;
8/05/19;17;13;41;3103;Place Danton;OPEN;;18;11;;7;;;;19-05-8 17:13:41;;
8/05/19;17;13;42;6031;Lafayette / Corneille;OPEN;;13;7;;6;;;;19-05-8 17:13:42;;
8/05/19;17;13;42;6032;Préfecture / Sarrail;OPEN;;20;1;;19;;;;19-05-8 17:13:42;;
8/05/19;17;13;43;3058;Place du Lac;OPEN;;19;7;;12;;;;19-05-8 17:13:43;;
8/05/19;17;13;43;6045;Brotteaux / Vauban;OPEN;;15;3;;12;;;;19-05-8 17:13:43;;
8/05/19;17;13;43;6016;Viabert / Thiers;OPEN;;16;2;;13;;;;19-05-8 17:13:43;;
8/05/19;17;13;44;6008;Place Jules Ferry;OPEN;;20;6;;14;;;;19-05-8 17:13:44;;
8/05/19;17;13;44;5004;Saint Jean;OPEN;;29;17;;22;;;;19-05-8 17:13:44;;
8/05/19;17;13;44;10030;Greuze;OPEN;;18;4;;14;;;;19-05-8 17:13:44;;
8/05/19;17;13;45;1022;Place Tolozan;OPEN;;30;3;;26;;;;19-05-8 17:13:45;;
8/05/19;17;13;45;3031;Corneille / Servient;OPEN;;13;1;;12;;;;19-05-8 17:13:45;;
8/05/19;17;13;45;10001;IUT/ Feyssine;OPEN;;30;3;;26;;;;19-05-8 17:13:45;;
8/05/19;17;13;45;1036;Aveyron;OPEN;;17;0;;17;;;;19-05-8 17:13:45;;
8/05/19;17;13;46;6022;Place Maréchal Lyautey;OPEN;;20;2;;18;;;;19-05-8 17:13:46;;
8/05/19;17;13;46;9020;Bourbonnais;OPEN;;12;9;;2;;;;19-05-8 17:13:46;;
8/05/19;17;13;46;2004;Perrache / Carnot;OPEN;;18;5;;13;;;;19-05-8 17:13:46;;
8/05/19;17;13;47;10079;Anatole France / Barbusse;OPEN;;20;14;;6;;;;19-05-8 17:13:47;;
8/05/19;17;13;47;7009;Jean Jaurès;OPEN;;16;16;;0;;;;19-05-8 17:13:47;;
8/05/19;17;13;47;10060;Saint Exupéry;OPEN;;15;3;;12;;;;19-05-8 17:13:47;;
8/05/19;17;13;48;2020;Musée des Confluences;OPEN;;20;5;;15;;;;19-05-8 17:13:48;;
8/05/19;17;13;48;4017;Place des tapis;OPEN;;17;0;;16;;;;19-05-8 17:13:48;;
8/05/19;17;13;48;3082;Place Bahadourian;OPEN;;18;0;;18;;;;19-05-8 17:13:48;;
8/05/19;17;13;49;10046;Charmettes / Zola;OPEN;;24;2;;21;;;;19-05-8 17:13:49;;
8/05/19;17;13;49;8056;Delore / Audibert & Lavirotte;OPEN;;20;18;;2;;;;19-05-8 17:13:49;;
8/05/19;17;13;50;10119;Villeurbanne Saint Jean;OPEN;;12;2;;8;;;;19-05-8 17:13:50;;
8/05/19;17;13;50;7053;Jaurès / Thibaudière;OPEN;;18;1;;16;;;;19-05-8 17:13:50;;
8/05/19;17;13;50;3012;Place du Château;OPEN;;25;18;;7;;;;19-05-8 17:13:51;;
8/05/19;17;13;51;4009;Jacquart / Denfert-Rochereau;OPEN;;14;0;;12;;;;19-05-8 17:13:51;;
8/05/19;17;13;51;10089;Colin /Ottavi;OPEN;;15;9;;6;;;;19-05-8 17:13:51;;
8/05/19;17;13;51;1031;Place de la Paix;OPEN;;20;0;;20;;;;19-05-8 17:13:51;;
8/05/19;17;13;52;5045;Valdo / Rivet;OPEN;;18;1;;17;;;;19-05-8 17:13:52;;
8/05/19;17;13;52;6035;Cité Internationale;OPEN;;21;2;;19;;;;19-05-8 17:13:52;;
8/05/19;17;13;52;2016;Place Regaud;OPEN;;12;7;;5;;;;19-05-8 17:13:52;;
8/05/19;17;13;53;3080;Part-Dieu / Villette;OPEN;;30;27;;3;;;;19-05-8 17:13:53;;
8/05/19;17;13;53;5029;Place Gerson;OPEN;;20;2;;18;;;;19-05-8 17:13:53;;
8/05/19;17;13;53;10018;Tolstoï / Florian;OPEN;;21;11;;10;;;;19-05-8 17:13:53;;
8/05/19;17;13;54;9049;Sergent Berthet / Gorge de Loup;OPEN;;16;11;;5;;;;19-05-8 17:13:54;;
8/05/19;17;13;54;10021;GrandClément;OPEN;;19;0;;19;;;;19-05-8 17:13:54;;
8/05/19;17;13;54;7023;Berthelot / Route de Vienne;OPEN;;15;11;;4;;;;19-05-8 17:13:54;;
8/05/19;17;13;54;6044;Charmettes / Bellecombe;OPEN;;16;7;;9;;;;19-05-8 17:13:54;;
8/05/19;17;13;55;3008;Institut Lumière;OPEN;;18;5;;13;;;;19-05-8 17:13:55;;
8/05/19;17;13;55;8042;Francis de Pressenssé;OPEN;;22;9;;11;;;;19-05-8 17:13:55;;
8/05/19;17;13;55;9044;Masset / St Pierre de Vaise;OPEN;;16;16;;0;;;;19-05-8 17:13:55;;
8/05/19;17;13;56;10075;Gabriel Péri;OPEN;;12;3;;9;;;;19-05-8 17:13:56;;
8/05/19;17;13;56;4006;Philippe de Lassalle;OPEN;;22;0;;22;;;;19-05-8 17:13:56;;
8/05/19;17;13;56;2036;Place A.Gourju;OPEN;;20;16;;13;;;;19-05-8 17:13:56;;
8/05/19;17;13;56;6002;Porte des Enfants du Rhône;OPEN;;29;0;;28;;;;19-05-8 17:13:57;;
8/05/19;17;13;57;7062;Garibaldi / Domer;OPEN;;19;8;;11;;;;19-05-8 17:13:57;;
8/05/19;17;13;57;2002;Bellecour / St Exupéry;OPEN;;20;9;;10;;;;19-05-8 17:13:57;;
8/05/19;17;13;57;10053;Rossellini / 11 Novembre;OPEN;;20;1;;18;;;;19-05-8 17:13:57;;
8/05/19;17;13;58;10110;Mémoire & Société;OPEN;;18;16;;0;;;;19-05-8 17:13:58;;
8/05/19;17;13;58;6021;Garibaldi;OPEN;;11;1;;10;;;;19-05-8 17:13:58;;
8/05/19;17;13;59;5053;St Just;OPEN;;18;0;;18;;;;19-05-8 17:13:59;;
8/05/19;17;13;59;8058;Longefer / Kruger;OPEN;;16;9;;6;;;;19-05-8 17:13:59;;
8/05/19;17;13;59;2037;Place des Archives;OPEN;;30;4;;35;;;;19-05-8 17:13:59;;
8/05/19;17;13;59;2026;République / Paufique;OPEN;;28;5;;23;;;;19-05-8 17:14:00;;
8/05/19;17;14;00;9003;Place Valmy;OPEN;;16;16;;0;;;;19-05-8 17:14:00;;
8/05/19;17;14;00;8011;Place Lebret;OPEN;;14;2;;12;;;;19-05-8 17:14:00;;
8/05/19;17;14;01;8006;Place 8 mai 1945;OPEN;;20;9;;11;;;;19-05-8 17:14:01;;
8/05/19;17;14;01;9052;Balmont;OPEN;;12;0;;12;;;;19-05-8 17:14:01;;
8/05/19;17;14;01;12002;Poudrette la Soie;OPEN;;20;0;;19;;;;19-05-8 17:14:01;;
8/05/19;17;14;02;6033;Créqui / Lafayette;OPEN;;15;2;;13;;;;19-05-8 17:14:02;;
8/05/19;17;14;02;10012;Zola / France;OPEN;;16;16;;0;;;;19-05-8 17:14:02;;
8/05/19;17;14;02;4022;Place de la Croix-Rousse;OPEN;;21;0;;21;;;;19-05-8 17:14:02;;
8/05/19;17;14;03;3037;Paul Bert / Garibaldi;OPEN;;20;9;;11;;;;19-05-8 17:14:03;;
8/05/19;17;14;03;8035;Sans Souci;OPEN;;20;14;;6;;;;19-05-8 17:14:03;;
8/05/19;17;14;03;10047;Lherminier / Pressensé;OPEN;;10;6;;4;;;;19-05-8 17:14:03;;
8/05/19;17;14;04;10049;Préssensé;OPEN;;16;4;;12;;;;19-05-8 17:14:04;;
8/05/19;17;14;04;6012;Place Puvis de Chavannes;OPEN;;10;4;;6;;;;19-05-8 17:14:04;;
